ject,image,answer,Category
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026320/Zadania_page-0002_fowo5q.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026321/Zadania_page-0003_icpsvl.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026321/Zadania_page-0004_vcaepj.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026322/Zadania_page-0005_uedp1j.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026322/Zadania_page-0006_hw6ods.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026323/Zadania_page-0007_azdeta.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026324/Zadania_page-0008_rotfhf.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026325/Zadania_page-0009_c9ukfm.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026324/Zadania_page-0010_ufrnxv.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026325/Zadania_page-0011_tm2rmr.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026326/Zadania_page-0012_unokns.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026326/Zadania_page-0013_o4cqja.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026327/Zadania_page-0014_u7rkqe.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026328/Zadania_page-0015_zoahny.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026329/Zadania_page-0016_pjhu7k.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026329/Zadania_page-0017_m49ki6.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026330/Zadania_page-0018_ofxzwv.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026331/Zadania_page-0019_f9iv8t.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026332/Zadania_page-0020_dcnm6z.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026332/Zadania_page-0021_qvidaj.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026334/Zadania_page-0022_emhqqs.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026334/Zadania_page-0023_px28ik.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026335/Zadania_page-0024_ocgvyr.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026336/Zadania_page-0025_ytntkv.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026336/Zadania_page-0026_u17jxv.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026338/Zadania_page-0027_nzk6tr.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026339/Zadania_page-0028_pcmof5.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026339/Zadania_page-0029_qezivz.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026340/Zadania_page-0030_b7xvi1.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026342/Zadania_page-0031_b7l4oo.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026343/Zadania_page-0032_g1cpnu.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026343/Zadania_page-0033_b2jhse.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026344/Zadania_page-0034_uoiofe.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026347/Zadania_page-0035_qu0g6w.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026346/Zadania_page-0036_zdtzlk.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026347/Zadania_page-0037_tb1hph.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026353/Zadania_page-0038_nt98le.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026351/Zadania_page-0039_czxzrr.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026351/Zadania_page-0040_o1tiwm.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026352/Zadania_page-0041_t6kr11.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026352/Zadania_page-0042_dl5uer.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026352/Zadania_page-0043_xia9eo.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026353/Zadania_page-0044_fh0ffj.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026355/Zadania_page-0045_tjs9ig.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026357/Zadania_page-0046_rdnssv.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026357/Zadania_page-0047_flyvec.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026358/Zadania_page-0048_w75rdt.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026358/Zadania_page-0049_vrwpym.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026362/Zadania_page-0050_accuog.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026363/Zadania_page-0051_dswqno.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026364/Zadania_page-0052_k5pbqc.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026364/Zadania_page-0053_axp8sa.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026365/Zadania_page-0054_zu4klj.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026369/Zadania_page-0055_b2budn.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026370/Zadania_page-0056_lrforr.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026370/Zadania_page-0057_pswums.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026371/Zadania_page-0058_cqkt4d.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026376/Zadania_page-0059_e9ar3g.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026376/Zadania_page-0060_putvjy.jpg,C,Liczby rzeczywiste
